Route,Direction,Stop Sequence,Stop
765,Southbound,015,Christine Ave at Burleigh Waters Library [300188]
765,Southbound,016,Christine Ave at Hillstar Avenue [300191]
765,Southbound,017,Christine Ave at Spoonbill Court [300192]
765,Southbound,018,Christine Ave at Hibiscus Haven [300358]
765,Southbound,019,Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26 [300179]
765,Southbound,020,Gold Coast Hwy at Third Avenue CLOSED until 26-04-26 [300174
765,Southbound,021,Gold Coast Hwy at Second Avenue station [300175]
765,Southbound,022,Burleigh Heads Primary School CLOSED PERMANENTLY [300176]
765,Southbound,022,Burleigh Heads station [300018]
765,Southbound,023,Burleigh Heads station [300018]
765,Southbound,023,Tweed St at George Street [300182]
765,Southbound,024,Burleigh Heads National Park [300177]
765,Southbound,024,Tweed St at George Street [300182]
765,Southbound,025,Burleigh Heads National Park [300177]
765,Southbound,025,Gold Coast Hwy at Tallebudgera Tourist Park [300421]
765,Southbound,026,Gold Coast Hwy at Tallebudgera Tourist Park [300421]
765,Southbound,026,Twenty Seventh Avenue [300422]
765,Southbound,027,Gold Coast Hwy at Twenty Fifth Avenue [300423]
765,Southbound,027,Twenty Seventh Avenue [300422]
765,Southbound,028,Gold Coast Hwy at Twenty Fifth Avenue [300423]
765,Southbound,028,Gold Coast Hwy at Twenty First Avenue [300424]
765,Southbound,029,Gold Coast Hwy at Twenty First Avenue [300424]
765,Southbound,029,Nineteenth Avenue [300425]
765,Southbound,030,Gold Coast Hwy at Fifteenth Avenue [300426]
765,Southbound,030,Nineteenth Avenue [300425]
765,Southbound,031,Gold Coast Hwy at Fifteenth Avenue [300426]
765,Southbound,031,Gold Coast Hwy at Thirteenth Avenue [300427]
765,Southbound,032,Gold Coast Hwy at Eighth Avenue [300428]
765,Southbound,032,Gold Coast Hwy at Thirteenth Avenue [300427]
765,Southbound,033,Gold Coast Hwy at Eighth Avenue [300428]
765,Southbound,033,Palm Beach [300429]
765,Southbound,034,Gold Coast Hwy at Palm Beach Police Station [300431]
765,Southbound,034,Palm Beach [300429]
765,Southbound,035,GC Hwy at Palm Beach Hotel CLOSED 6 Oct - 20 Dec 2027 [30043
765,Southbound,035,Thrower Dr near Luzon Pde [301181]
765,Southbound,036,Gold Coast Hwy at Palm Beach Police Station [300431]
765,Southbound,036,Palm Beach Currumbin High School [300438]
765,Southbound,037,Sarawak Ave at Salk Oval [300436]
765,Southbound,037,Thrower Dr near Luzon Pde [301181]
765,Southbound,038,Palm Beach Currumbin High School [300438]
765,Southbound,039,Sarawak Ave at Salk Oval [300436]
765,Southbound,Last Stop,"The Pines Shopping Centre, stop A [320931]"
777,Northbound,001,Gold Coast Airport [300008]
777,Northbound,002,Palm Beach [300413]
777,Northbound,003,Nineteenth Avenue [300417]
777,Northbound,004,Twenty Seventh Avenue [300420]
777,Northbound,005,Burleigh Heads Primary School CLOSED [300017]
777,Northbound,006,Gold Coast Hwy at Miami Hotel [300360]
777,Northbound,007,Gold Coast Hwy at Nobby Beach station [300330]
777,Northbound,008,Gold Coast Hwy at Mermaid Beach South station [300332]
777,Northbound,009,Gold Coast Hwy at Mermaid Beach station [300335]
777,Northbound,Last Stop,Broadbeach South station [320864]
777,Southbound,001,"Broadbeach South station, stop B [320861]"
777,Southbound,002,Gold Coast Hwy at Mermaid Beach station [300337]
777,Southbound,003,Gold Coast Hwy at Mermaid Beach South station [300344]
777,Southbound,004,Gold Coast Hwy at Nobby Beach station [300340]
777,Southbound,005,Gold Coast Hwy at Miami Hotel CLOSED [300364]
777,Southbound,006,Burleigh Heads station [300018]
777,Southbound,007,Twenty Seventh Avenue [300422]
777,Southbound,008,Nineteenth Avenue [300425]
777,Southbound,009,Palm Beach [300429]
777,Southbound,Last Stop,Gold Coast Airport [300008]
