Route,Direction,Stop Sequence,Stop
700,Southbound,013,Remembrance Drive at Surfers Paradise Bvd [300557]
700,Southbound,013,Tweed St at George Street [300182]
700,Southbound,014,Burleigh Heads National Park [300177]
700,Southbound,014,Gold Coast Hwy at Florida Gardens station [319467]
700,Southbound,014,Gold Coast Hwy at Tallebudgera Tourist Park [300421]
700,Southbound,015,Broadbeach North station [300012]
700,Southbound,015,Gold Coast Hwy at Tallebudgera Tourist Park [300421]
700,Southbound,015,Twenty Seventh Avenue [300422]
700,Southbound,016,"Broadbeach South station, stop A [320860]"
700,Southbound,016,Gold Coast Hwy at Twenty Fifth Avenue [300423]
700,Southbound,016,Twenty Seventh Avenue [300422]
700,Southbound,017,Gold Coast Hwy at Mermaid Beach station [300337]
700,Southbound,017,Gold Coast Hwy at Twenty Fifth Avenue [300423]
700,Southbound,017,Gold Coast Hwy at Twenty First Avenue [300424]
700,Southbound,018,Gold Coast Hwy at Mermaid Beach South station [300344]
700,Southbound,018,Gold Coast Hwy at Twenty First Avenue [300424]
700,Southbound,018,Nineteenth Avenue [300425]
700,Southbound,019,Gold Coast Hwy at Fifteenth Avenue [300426]
700,Southbound,019,Gold Coast Hwy at Nobby Beach station [300340]
700,Southbound,019,Nineteenth Avenue [300425]
700,Southbound,020,Gold Coast Hwy at Fifteenth Avenue [300426]
700,Southbound,020,Gold Coast Hwy at Miami North station [300366]
700,Southbound,020,Gold Coast Hwy at Thirteenth Avenue [300427]
700,Southbound,021,Gold Coast Hwy at Eighth Avenue [300428]
700,Southbound,021,Gold Coast Hwy at Miami station [300368]
700,Southbound,021,Gold Coast Hwy at Thirteenth Avenue [300427]
700,Southbound,022,Gold Coast Hwy at Eighth Avenue [300428]
700,Southbound,022,Gold Coast Hwy at Miami Hotel CLOSED [300364]
700,Southbound,022,Palm Beach [300429]
700,Southbound,023,Gold Coast Hwy at Christine Avenue station [300365]
700,Southbound,023,Gold Coast Hwy at Palm Beach Police Station [300431]
700,Southbound,023,Palm Beach [300429]
700,Southbound,024,GC Hwy at Palm Beach Hotel CLOSED 6 Oct - 20 Dec 2027 [30043
700,Southbound,024,Gold Coast Hwy at Anzac Pde CLOSED from 26-04-26 [300179]
700,Southbound,024,Gold Coast Hwy at Palm Beach Police Station [300431]
700,Southbound,024,Gold Coast Hwy at Thrower Drive [300432]
700,Southbound,025,Gold Coast Hwy at Currumbin Hill [300242]
700,Southbound,025,Gold Coast Hwy at Thrower Drive [300432]
700,Southbound,026,Burleigh Heads station [300018]
700,Southbound,026,Currumbin Wildlife Sanctuary [300248]
700,Southbound,026,Gold Coast Hwy at Currumbin Hill [300242]
700,Southbound,026,Gold Coast Hwy at Thrower Drive [300432]
700,Southbound,027,Currumbin Wildlife Sanctuary [300248]
700,Southbound,027,Tweed St at George Street [300182]
700,Southbound,028,Burleigh Heads National Park [300177]
700,Southbound,028,Golden Four Drive at St Monica's Catholic Church [300583]
700,Southbound,028,Teemangum St at Kropp Park [300589]
700,Southbound,029,Golden Four Dr at Tugun Beach shops [300584]
700,Southbound,029,Golden Four Drive at St Monica's Catholic Church [300583]
700,Southbound,030,Gold Coast Hwy at Tallebudgera Tourist Park [300421]
700,Southbound,030,Golden Four Dr at Shell Street [300581]
700,Southbound,030,Golden Four Dr at Tugun Beach shops [300584]
700,Southbound,030,Twenty Seventh Avenue [300422]
700,Southbound,031,Gold Coast Hwy at Twenty Fifth Avenue [300423]
700,Southbound,031,Golden Four Dr at Shell Street [300581]
700,Southbound,031,Golden Four Dr at Short Street [300126]
